Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c9cbe2c3ac4c1902d9dffc98e6a80e6381175aa8a72a59d3368d31b5a0fe25,2016-10,Essex Police,Essex Police,,,No location,,,Suspect charged as part of another case
e382b51bd0c6e83382c343f200b983f7bee2caf8611796e291b0c3bcef8cd726,2016-10,Essex Police,Essex Police,0.038200,51.760164,On or near Park/Open Space,E01021801,Epping Forest 002E,Investigation complete; no suspect identified
a83f49c7a75f92343e4d54b3b5e18e1cdbad4f7eef707114a978545cd6e18ad0,2016-10,Essex Police,Essex Police,0.081345,51.610779,On or near Petrol Station,E01021767,Epping Forest 017D,Investigation complete; no suspect identified
6ad1a2c032106a4d0a9f83f7b1da9d453f02e2d9f7b49ea181f14bf317b4c96c,2016-10,Essex Police,Essex Police,1.158897,51.791992,On or near HOLLAND ROAD,E01022027,Tendring 016D,Investigation complete; no suspect identified
897bb45d18baf028f62b41b54df840e6d070573a5fa661222de2f37887edc301,2016-10,Essex Police,Essex Police,0.605828,51.585708,On or near Shopping Area,E01021962,Rochford 008C,Investigation complete; no suspect identified
4fcacd15e2bc7bcfd543505674ddaaf62983f67ef34daa9e0eb3d6e568eb0947,2016-10,Essex Police,Essex Police,1.148499,51.810323,On or near RAYCLIFF AVENUE,E01022044,Tendring 013E,Investigation complete; no suspect identified
3dde2f59bf007f209e20c7f8566049006e243f0c9a33b829b7af9b2d47839ff3,2016-10,Essex Police,Essex Police,1.155426,51.805424,On or near Supermarket,E01022044,Tendring 013E,Investigation complete; no suspect identified
8502e631c7e30771df2fa58c3a6844240967441290ccf58cb414d4d043da5618,2016-10,Essex Police,Essex Police,0.446162,51.581979,On or near Shopping Area,E01021268,Basildon 015B,Investigation complete; no suspect identified
f87f6320a323eee8fe8acb5c3caae78238c0a837ef6bad40dfb6da0353b353e2,2016-10,Essex Police,Essex Police,0.630444,51.937686,On or near Sports/Recreation Area,E01021393,Braintree 004E,Investigation complete; no suspect identified
58579965c4a4012d8e693cddf4c209feb6cc9443dccee2f88f55d94793278b23,2016-10,Essex Police,Essex Police,1.155165,51.804594,On or near ST JOHN'S ROAD,E01022042,Tendring 014A,Investigation complete; no suspect identified
96f3e33fcfde34a41a4ee832b9741e9fbcced66d8d8ee2d683337240d5400413,2016-10,Essex Police,Essex Police,0.700892,51.534795,On or near WESTCLIFF PARADE,E01015853,Southend-on-Sea 015C,Investigation complete; no suspect identified
