Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
630352f50f9110d797b2fb2633861d7d983a1bec4fc1f91762940905593cafe0,2016-10,Humberside Police,Humberside Police,-0.271480,53.747497,On or near Petrol Station,E01012848,Kingston upon Hull 020B,Investigation complete; no suspect identified
d32a7ef2821521ea56d01f0c9a79207a8b977622bf2deaa2f947265cac495efc,2016-10,Humberside Police,Humberside Police,-0.262959,53.777596,On or near ARRETON CLOSE,E01012840,Kingston upon Hull 009E,Investigation complete; no suspect identified
e2fb085128b2cc11b1f7ef28bf36c214a5fc65a9328a0ef48be251e1c1308821,2016-10,Humberside Police,Humberside Police,-0.889506,53.951131,On or near STORKING LANE,E01013059,East Riding of Yorkshire 009B,Investigation complete; no suspect identified
4ac84aa0d4b56039bddfbe58f8c1a1e7cd81666229c56cb5d0567a7da1c9b3f6,2016-10,Humberside Police,Humberside Police,-0.655130,53.593942,On or near Shopping Area,E01013296,North Lincolnshire 008A,Investigation complete; no suspect identified
6eff5a432ae1dfb77123c92c4d7202c556950c4d44e36662c0894883e70f3086,2016-10,Humberside Police,Humberside Police,-0.126448,53.571108,On or near SERVICE ROAD 23,E01013147,North East Lincolnshire 009A,Investigation complete; no suspect identified
b16cce5b6fac950d859fe3220a4189fa4ba1c16936a4aa3c46ab2737cefd7f79,2016-10,Humberside Police,Humberside Police,-0.392465,53.777425,On or near HOYLAKE CLOSE,E01012959,East Riding of Yorkshire 023C,Investigation complete; no suspect identified
d3b58bded80bbde09f03fbc6e46333a8772f7dd1f363c6a2465b17c4e3e116ac,2016-10,Humberside Police,Humberside Police,-0.381803,53.766584,On or near KENILWORTH AVENUE,E01012791,Kingston upon Hull 014A,Investigation complete; no suspect identified
e80557efdb982667a9b1fafac0de8dba24705fd2f605255289ac95d8bde505d3,2016-10,Humberside Police,Humberside Police,-0.403156,53.746043,On or near EAST ELLA DRIVE,E01012777,Kingston upon Hull 028E,Investigation complete; no suspect identified
acd84e2bd5f8b39d51e52d64aa93f5807bd3c6f113402dd70f90faf1ad025c67,2016-10,Humberside Police,Humberside Police,-0.009095,53.536139,On or near TOWNSEND CLOSE,E01013167,North East Lincolnshire 020D,Investigation complete; no suspect identified
292d214d940d1752e8eea7c898262335d5f8e4637ccac4495ba117cdeaf804a2,2016-10,Humberside Police,Humberside Police,-0.347050,53.762173,On or near FOLKESTONE STREET,E01012871,Kingston upon Hull 015D,Investigation complete; no suspect identified
e07154c2a9e79157da193407efd874d0d94082de3c4a8f8f37953c456da80424,2016-10,Humberside Police,Humberside Police,-0.368625,53.790290,On or near CRINAN DRIVE,E01012768,Kingston upon Hull 005C,Investigation complete; no suspect identified
b6d87a6d0730237d303f9d827303b3d09e2f6b6d721571763ea8188317b55c3d,2016-10,Humberside Police,Humberside Police,-0.298444,53.764028,On or near EAST PARK AVENUE,E01012816,Kingston upon Hull 020A,Investigation complete; no suspect identified
4bf06e0a9ffd443fbbff438ad03c992420295021f0c225cbf76d46b72cae2f86,2016-10,Humberside Police,Humberside Police,-0.084267,53.568750,On or near Parking Area,E01013222,North East Lincolnshire 003E,Investigation complete; no suspect identified
c72f59fb62560e1fe0fb2698ea84ed2ffa69816ca1b5758921ef0a25a42a5ede,2016-10,Humberside Police,Humberside Police,-0.186685,54.082448,On or near ROYAL PRINCE'S PARADE,E01012944,East Riding of Yorkshire 005A,Investigation complete; no suspect identified
9070f2147630e76bbf663bb4c5a37a5003ca7837675b1d21db2d6cf95311d1f5,2016-10,Humberside Police,Humberside Police,-0.613958,53.563404,On or near GADWALL WAY,E01013240,North Lincolnshire 015B,Investigation complete; no suspect identified
ae7ea2b053a7ea8c9096a37960f770b0105fb049b206ee39be7c41915af1d034,2016-10,Humberside Police,Humberside Police,-0.048683,53.571771,On or near HARRINGTON STREET,E01013201,North East Lincolnshire 005C,Investigation complete; no suspect identified
e125c3ae5d63fc9a9693272945c873340609685c2e54d6d804bbb6debc7f797d,2016-10,Humberside Police,Humberside Police,-0.419875,53.844397,On or near RIDING FIELDS SQUARE,E01013038,East Riding of Yorkshire 017A,Investigation complete; no suspect identified
0823fb1f8b65bcfcc5aab4aa481d3b78aa673c267c71d466f499e820aac6023d,2016-10,Humberside Police,Humberside Police,-0.361581,53.739252,On or near GEE STREET,E01012891,Kingston upon Hull 030C,Investigation complete; no suspect identified
adbd96e4a4e34fa25cdcf50d27c69863d0f4ec56832f24b9a3f0b4f8139eb0dc,2016-10,Humberside Police,Humberside Police,-0.666229,53.592232,On or near TOMLINSON AVENUE,E01013298,North Lincolnshire 008B,Investigation complete; no suspect identified
380a5004f8ef36f79fdce5e15a4cee5473a91123f2568645bc277a0812f13120,2016-10,Humberside Police,Humberside Police,-0.357730,53.761789,On or near CHESNUT AVENUE,E01012872,Kingston upon Hull 015E,Investigation complete; no suspect identified
a34687e783aa5644101800051f2ab0575d5145a4c661be6312de8bf117529f2e,2016-10,Humberside Police,Humberside Police,-0.660731,53.557285,On or near HARROW GARDENS,E01013260,North Lincolnshire 019A,Investigation complete; no suspect identified
a7bf1256da8cbe2e48010cc1b29052fc17b728233a9fd938c196922e40f35697,2016-10,Humberside Police,Humberside Police,-0.085161,53.566688,On or near Parking Area,E01013221,North East Lincolnshire 003D,Investigation complete; no suspect identified
6a1b149d5b2fe000f7ef767b63321891d2c6d577b51227877386fb484738407d,2016-10,Humberside Police,Humberside Police,-0.660925,53.563094,On or near ANGERSTEIN ROAD,E01013282,North Lincolnshire 017C,Investigation complete; no suspect identified
b3b2275eecae1217a3e5ea3cd11619449b8ce66d42eaf1d09c348a3a28208b6c,2016-10,Humberside Police,Humberside Police,-0.554333,53.566456,On or near BRUCE CLOSE,E01013276,North Lincolnshire 013C,Investigation complete; no suspect identified
