Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3aa9c92543e546ba755f1c7190e348cb6623f95f99c9b5c0c117520f7851a3d9,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.157212,52.055870,On or near TACKET STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
bb0cae628c909b04621727db11a80d5dfda1c6d5df1eeb708750af9604449e38,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.155467,52.059883,On or near NEALE STREET,E01030025,Ipswich 006D,Investigation complete; no suspect identified
f81a634f8ebe1551765f1325de2fd3fa56cc4b2a32af5229b66fbf456e9ee914,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.876238,51.971137,On or near NEWLANDS LANE,E01029906,Babergh 009D,Investigation complete; no suspect identified
3ef28fe1da8f442c8d8ce50a8e564172b2e9d97d7ac41b21d1529f6e8c3c2096,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.133502,52.062925,On or near FARINA CLOSE,E01030022,Ipswich 006A,Investigation complete; no suspect identified
e1d5f06da9dc6a7a3e5837973ae6fd293235f4aef54ad11a424a1988a4f6ff59,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.199434,52.051159,On or near FOXHALL ROAD,E01029966,Ipswich 009D,Investigation complete; no suspect identified
d4c9f607787977d26fdbbd0cde5d690c191b9b032a850880ff6b679c8819db32,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.319949,52.090869,On or near TIDE MILL WAY,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
a6c0c31ccab3f8a38b6a86abb1b3db1f95fab6daf6a54d6b50b9148c251cafde,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.747771,52.470018,On or near MARINE PARADE,E01030258,Waveney 007D,Investigation complete; no suspect identified
2cd9b4301b26406a5911d529a4fed6b5474675bb5d0fcf626cf971e16e20b423,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.953056,52.046687,On or near MEADOWS WAY,E01029892,Babergh 004A,Investigation complete; no suspect identified
4accb3981c32fb907922817a6616a83b921e2dfbd432dd9271db52f9049a01d9,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.732883,52.495612,On or near HENHAM ROAD,E01030281,Waveney 002E,Investigation complete; no suspect identified
6e333bd5bbcce03c19530ee46e05dfe55340da658a5d5dd1c250481997d9c25a,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.207466,52.035399,On or near RANSOMES WAY,E01030196,Suffolk Coastal 011A,Investigation complete; no suspect identified
8bb0605aea01c0f5f8e10c983697ddb88baa8cb096f19a5dd1fa64f75e737591,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.138097,52.061858,On or near SIRDAR ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
123c1834f92140a934ac0a01cdab7b3023a2833e0cf7599326caf7478989a2fb,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.894994,52.279157,On or near THE STREET,E01030040,Mid Suffolk 004A,Investigation complete; no suspect identified
a7ccbf6e1ba81019e7e54f71f0855c9c9599dfe2920965f3be635239baaf4fd9,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.246027,52.057970,On or near QUANTRILL TERRACE,E01033444,Suffolk Coastal 010H,Investigation complete; no suspect identified
0e86d0d5f996410333712826a5f911fb88a840630f8cb0f95b893a4554c0622e,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.140985,52.078680,On or near FIRCROFT ROAD,E01030033,Ipswich 001B,Investigation complete; no suspect identified
a46ae035b5fc5dc029d39162d0e016abba943f8e24536d212975ced91c136f9b,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.196046,52.067863,On or near Sports/Recreation Area,E01029998,Ipswich 004B,Investigation complete; no suspect identified
c5a0fe51c18a3b14ae3615ace123f26cd11e3b8d1dc772d1aa04b6a2aa6a67ad,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.563470,52.457776,On or near Supermarket,E01030225,Waveney 010C,Investigation complete; no suspect identified
fcb8cb3758ab16d47334d9d6b9e007b9306a30f4ace0f7f5c69d681ce80acf3f,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.726477,52.490273,On or near OULTON ROAD,E01030280,Waveney 003E,Investigation complete; no suspect identified
c45da607267f33cc62901fb18fdfc97227c9768b0b87f174f7e971a8f54780dc,2016-10,Suffolk Constabulary,Suffolk Constabulary,0.723234,52.037396,On or near Parking Area,E01029919,Babergh 007G,Investigation complete; no suspect identified
9efb88092ede19434a61d71bf7176f507cad4dc8595cec2b5c40fe40559c61c5,2016-10,Suffolk Constabulary,Suffolk Constabulary,1.125783,52.083393,On or near Sports/Recreation Area,E01030035,Ipswich 001D,Investigation complete; no suspect identified
